LYLTY_CARD_NBR,Years as Customers,LIFESTAGE,PREMIUM_CUSTOMER,STORE_NBR
0,,,,0
1000,7,YOUNG SINGLES/COUPLES,Premium,1
1002,9,YOUNG SINGLES/COUPLES,Mainstream,1
1003, 6,YOUNG FAMILIES,Budget,1
1004, 11,OLDER SINGLES/COUPLES,Mainstream,1
1005, 8,MIDAGE SINGLES/COUPLES,Mainstream,1
1007,10,YOUNG SINGLES/COUPLES,Budget,1
1009, 13,NEW FAMILIES,Premium,1
1010,4,YOUNG SINGLES/COUPLES,Mainstream,1
1011, 15,OLDER SINGLES/COUPLES,Mainstream,1
1012, 7,OLDER FAMILIES,Mainstream,1
1013, 3,RETIREES,Budget,1
1016, 15,OLDER FAMILIES,Mainstream,1
1018,6,YOUNG SINGLES/COUPLES,Mainstream,1
1019, 5,OLDER SINGLES/COUPLES,Premium,1
1020,2,YOUNG SINGLES/COUPLES,Mainstream,1
1022, 2,OLDER FAMILIES,Budget,1
1023, 4,MIDAGE SINGLES/COUPLES,Premium,1
1024,6,YOUNG SINGLES/COUPLES,Premium,1
1025, 6,YOUNG FAMILIES,Budget,1
1026, 13,MIDAGE SINGLES/COUPLES,Premium,1
1027, 3,OLDER FAMILIES,Premium,1
1028,10,YOUNG SINGLES/COUPLES,Budget,1
1030, 14,RETIREES,Mainstream,1
1034, 6,RETIREES,Premium,1
1038, 2,OLDER FAMILIES,Mainstream,1
1039, 10,YOUNG FAMILIES,Mainstream,1
1042,7,YOUNG SINGLES/COUPLES,Premium,1
1043, 9,YOUNG FAMILIES,Budget,1
1044, 1,YOUNG FAMILIES,Mainstream,1
1046,1,YOUNG SINGLES/COUPLES,Budget,1
1048, 10,OLDER FAMILIES,Mainstream,1
1050, 7,YOUNG FAMILIES,Budget,1
1051,6,YOUNG SINGLES/COUPLES,Budget,1
1052, 8,MIDAGE SINGLES/COUPLES,Budget,1
1053, 6,MIDAGE SINGLES/COUPLES,Mainstream,1
1054, 14,NEW FAMILIES,Mainstream,1
1055, 8,RETIREES,Mainstream,1
1056, 2,MIDAGE SINGLES/COUPLES,Mainstream,1
1057, 5,MIDAGE SINGLES/COUPLES,Mainstream,1
1060,3,YOUNG SINGLES/COUPLES,Mainstream,1
1061, 15,OLDER SINGLES/COUPLES,Budget,1
1062, 10,YOUNG FAMILIES,Premium,1
1064, 4,YOUNG FAMILIES,Budget,1
1065, 15,MIDAGE SINGLES/COUPLES,Premium,1
1067, 1,OLDER SINGLES/COUPLES,Mainstream,1
1068,8,YOUNG SINGLES/COUPLES,Premium,1
1071, 10,YOUNG FAMILIES,Mainstream,1
1072, 6,NEW FAMILIES,Premium,1
1074, 5,RETIREES,Budget,1
1076,1,YOUNG SINGLES/COUPLES,Budget,1
1077, 5,OLDER SINGLES/COUPLES,Premium,1
1080, 10,RETIREES,Budget,1
1081, 15,MIDAGE SINGLES/COUPLES,Budget,1
1086,7,YOUNG SINGLES/COUPLES,Budget,1
1087, 11,RETIREES,Premium,1
1088,6,YOUNG SINGLES/COUPLES,Budget,1
1089, 2,RETIREES,Mainstream,1
1090, 8,OLDER FAMILIES,Budget,1
1091, 14,NEW FAMILIES,Budget,1
1093, 9,RETIREES,Premium,1
1094, 1,NEW FAMILIES,Budget,1
1095, 11,RETIREES,Mainstream,1
1096, 14,OLDER SINGLES/COUPLES,Premium,1
1097, 3,RETIREES,Budget,1
1099, 14,OLDER SINGLES/COUPLES,Premium,1
1101, 12,RETIREES,Mainstream,1
1102, 4,OLDER FAMILIES,Budget,1
1103, 13,OLDER FAMILIES,Budget,1
1104, 5,RETIREES,Mainstream,1
1105, 6,RETIREES,Premium,1
1107, 15,OLDER SINGLES/COUPLES,Mainstream,1
1108, 4,RETIREES,Mainstream,1
1109, 7,OLDER SINGLES/COUPLES,Mainstream,1
1111, 1,RETIREES,Premium,1
1113,10,YOUNG SINGLES/COUPLES,Mainstream,1
1114, 3,OLDER FAMILIES,Premium,1
1115, 3,RETIREES,Premium,1
1116, 9,OLDER SINGLES/COUPLES,Premium,1
1117, 11,OLDER SINGLES/COUPLES,Mainstream,1
1118, 4,RETIREES,Mainstream,1
1120,1,YOUNG SINGLES/COUPLES,Mainstream,1
1121, 5,OLDER SINGLES/COUPLES,Premium,1
1122, 11,OLDER SINGLES/COUPLES,Budget,1
1123, 6,MIDAGE SINGLES/COUPLES,Mainstream,1
1124, 13,RETIREES,Mainstream,1
1125, 13,OLDER SINGLES/COUPLES,Premium,1
1127, 7,RETIREES,Mainstream,1
1133, 5,YOUNG FAMILIES,Budget,1
1134, 13,RETIREES,Mainstream,1
1136, 12,OLDER FAMILIES,Budget,1
1137, 5,MIDAGE SINGLES/COUPLES,Premium,1
1139, 11,OLDER SINGLES/COUPLES,Premium,1
1140, 2,RETIREES,Mainstream,1
1141,4,YOUNG SINGLES/COUPLES,Mainstream,1
1142, 2,OLDER FAMILIES,Premium,1
1143, 7,OLDER FAMILIES,Budget,1
1146,1,YOUNG SINGLES/COUPLES,Premium,1
1147, 8,NEW FAMILIES,Premium,1
1149, 5,YOUNG FAMILIES,Mainstream,1
1150,9,YOUNG SINGLES/COUPLES,Budget,1
1152, 14,RETIREES,Budget,1
1155, 15,OLDER SINGLES/COUPLES,Budget,1
1156, 7,RETIREES,Premium,1
1158, 10,OLDER SINGLES/COUPLES,Mainstream,1
1159,3,YOUNG SINGLES/COUPLES,Mainstream,1
1161,6,YOUNG SINGLES/COUPLES,Mainstream,1
1163,10,YOUNG SINGLES/COUPLES,Mainstream,1
1164,2,YOUNG SINGLES/COUPLES,Mainstream,1
1165,4,YOUNG SINGLES/COUPLES,Budget,1
1168,4,YOUNG SINGLES/COUPLES,Premium,1
1169, 9,NEW FAMILIES,Budget,1
1170, 14,OLDER FAMILIES,Mainstream,1
1171, 8,RETIREES,Mainstream,1
1172, 2,OLDER FAMILIES,Mainstream,1
1173, 9,RETIREES,Mainstream,1
1174, 5,OLDER SINGLES/COUPLES,Budget,1
1177,4,YOUNG SINGLES/COUPLES,Mainstream,1
1178, 5,RETIREES,Mainstream,1
1179,7,YOUNG SINGLES/COUPLES,Mainstream,1
1181,3,YOUNG SINGLES/COUPLES,Premium,1
