LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER,Years as Customers,STORE_NBR
34189,OLDER FAMILIES,Mainstream,6,34
34190,RETIREES,Budget,10,34
34191,OLDER SINGLES/COUPLES,Mainstream,3,34
34192,MIDAGE SINGLES/COUPLES,Mainstream,14,34
34193,MIDAGE SINGLES/COUPLES,Mainstream,10,34
34194,YOUNG SINGLES/COUPLES,Premium,8,34
34195,RETIREES,Premium,12,34
34196,YOUNG SINGLES/COUPLES,Budget,5,34
34197,RETIREES,Mainstream,2,34
34198,OLDER SINGLES/COUPLES,Premium,7,34
34199,YOUNG SINGLES/COUPLES,Mainstream,4,34
34200,OLDER SINGLES/COUPLES,Premium,2,34
34201,OLDER SINGLES/COUPLES,Premium,4,34
34202,YOUNG FAMILIES,Budget,9,34
34203,RETIREES,Budget,10,34
34205,YOUNG SINGLES/COUPLES,Mainstream,6,34
34206,YOUNG SINGLES/COUPLES,Premium,3,34
34210,YOUNG SINGLES/COUPLES,Mainstream,10,34
34213,OLDER SINGLES/COUPLES,Premium,6,34
34214,OLDER SINGLES/COUPLES,Mainstream,9,34
34215,NEW FAMILIES,Premium,14,34
34216,RETIREES,Budget,6,34
34217,YOUNG SINGLES/COUPLES,Mainstream,9,34
34221,MIDAGE SINGLES/COUPLES,Mainstream,8,34
34222,YOUNG SINGLES/COUPLES,Mainstream,5,34
34223,YOUNG SINGLES/COUPLES,Budget,3,34
34224,OLDER SINGLES/COUPLES,Mainstream,11,34
34225,RETIREES,Premium,2,34
34226,RETIREES,Premium,9,34
34231,RETIREES,Mainstream,4,34
34232,NEW FAMILIES,Mainstream,11,34
34235,YOUNG FAMILIES,Budget,1,34
34236,OLDER FAMILIES,Mainstream,13,34
34237,YOUNG SINGLES/COUPLES,Budget,3,34
34238,MIDAGE SINGLES/COUPLES,Mainstream,13,34
34240,OLDER FAMILIES,Budget,14,34
34241,MIDAGE SINGLES/COUPLES,Mainstream,12,34
34242,RETIREES,Budget,13,34
34243,NEW FAMILIES,Mainstream,4,34
34244,OLDER SINGLES/COUPLES,Mainstream,15,34
34245,YOUNG FAMILIES,Budget,4,34
34246,YOUNG FAMILIES,Mainstream,4,34
34247,YOUNG SINGLES/COUPLES,Mainstream,5,34
34248,OLDER SINGLES/COUPLES,Mainstream,9,34
