County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
West Virginia,West Virginia,Total,"1,775,156","87,469","96,217","102,819","111,760","114,325","102,223","104,869","100,477","116,189","105,518","116,477","114,295","126,356","119,451","105,223","68,910","46,114","36,464","199,036","65,038","351,543","161,047","649,843","1,466,266","1,423,613","1,352,917","502,518","452,834","376,162","151,488"
West Virginia,West Virginia,Percent,(X),4.90%,5.40%,5.80%,6.30%,6.40%,5.80%,5.90%,5.70%,6.50%,5.90%,6.60%,6.40%,7.10%,6.70%,5.90%,3.90%,2.60%,2.10%,11.20%,3.70%,19.80%,9.10%,36.60%,82.60%,80.20%,76.20%,28.30%,25.50%,21.20%,8.50%
West Virginia,West Virginia,Male,"882,101","43,466","49,137","52,066","57,593","56,408","55,461","54,866","53,230","55,611","54,772","59,490","56,295","62,174","60,214","46,747","31,498","21,195","11,878","101,203","32,895","177,564","81,106","333,169","726,955","704,537","666,832","233,706","209,097","171,532","64,571"
West Virginia,West Virginia,Percent Male,(X),4.90%,5.60%,5.90%,6.50%,6.40%,6.30%,6.20%,6.00%,6.30%,6.20%,6.70%,6.40%,7.00%,6.80%,5.30%,3.60%,2.40%,1.30%,11.50%,3.70%,20.10%,9.20%,37.80%,82.40%,79.90%,75.60%,26.50%,23.70%,19.40%,7.30%
West Virginia,West Virginia,Female,"893,055","44,003","47,080","50,753","54,167","57,917","46,762","50,003","47,247","60,578","50,746","56,987","58,000","64,182","59,237","58,476","37,412","24,919","24,586","97,833","32,143","173,979","79,941","316,674","739,311","719,076","686,085","268,812","243,737","204,630","86,917"
West Virginia,West Virginia,Percent Female,(X),4.90%,5.30%,5.70%,6.10%,6.50%,5.20%,5.60%,5.30%,6.80%,5.70%,6.40%,6.50%,7.20%,6.60%,6.50%,4.20%,2.80%,2.80%,11.00%,3.60%,19.50%,9.00%,35.50%,82.80%,80.50%,76.80%,30.10%,27.30%,22.90%,9.70%
Berkeley County,West Virginia,Total,"129,490","7,728","8,189","7,977","7,993","7,196","9,058","9,572","7,249","10,801","8,653","8,106","7,993","8,465","8,100","5,225","4,292","1,728","1,165","16,166","5,441","29,335","9,748","51,869","103,834","100,155","96,473","28,975","25,057","20,510","7,185"
Berkeley County,West Virginia,Percent,(X),6.00%,6.30%,6.20%,6.20%,5.60%,7.00%,7.40%,5.60%,8.30%,6.70%,6.30%,6.20%,6.50%,6.30%,4.00%,3.30%,1.30%,0.90%,12.50%,4.20%,22.70%,7.50%,40.10%,80.20%,77.30%,74.50%,22.40%,19.40%,15.80%,5.50%
Berkeley County,West Virginia,Male,"64,794","3,649","4,201","4,193","4,477","3,705","4,386","4,873","3,875","5,065","4,846","4,103","3,390","4,532","3,945","2,326","2,210",610,408,"8,394","3,108","15,151","5,074","26,381","51,670","49,643","47,385","14,031","12,181","9,499","3,228"
Berkeley County,West Virginia,Percent Male,(X),5.60%,6.50%,6.50%,6.90%,5.70%,6.80%,7.50%,6.00%,7.80%,7.50%,6.30%,5.20%,7.00%,6.10%,3.60%,3.40%,0.90%,0.60%,13.00%,4.80%,23.40%,7.80%,40.70%,79.70%,76.60%,73.10%,21.70%,18.80%,14.70%,5.00%
Berkeley County,West Virginia,Female,"64,696","4,079","3,988","3,784","3,516","3,491","4,672","4,699","3,374","5,736","3,807","4,003","4,603","3,933","4,155","2,899","2,082","1,118",757,"7,772","2,333","14,184","4,674","25,488","52,164","50,512","49,088","14,944","12,876","11,011","3,957"
Berkeley County,West Virginia,Percent Female,(X),6.30%,6.20%,5.80%,5.40%,5.40%,7.20%,7.30%,5.20%,8.90%,5.90%,6.20%,7.10%,6.10%,6.40%,4.50%,3.20%,1.70%,1.20%,12.00%,3.60%,21.90%,7.20%,39.40%,80.60%,78.10%,75.90%,23.10%,19.90%,17.00%,6.10%
Cabell County,West Virginia,Total,"92,730","4,822","5,619","4,717","5,952","10,199","6,958","5,421","4,823","5,425","4,651","5,318","5,221","5,442","5,489","4,703","4,000","2,067","1,903","10,336","2,972","18,130","13,179","38,778","76,272","74,600","69,386","23,604","21,151","18,162","7,970"
Cabell County,West Virginia,Percent,(X),5.20%,6.10%,5.10%,6.40%,11.00%,7.50%,5.80%,5.20%,5.90%,5.00%,5.70%,5.60%,5.90%,5.90%,5.10%,4.30%,2.20%,2.10%,11.10%,3.20%,19.60%,14.20%,41.80%,82.30%,80.40%,74.80%,25.50%,22.80%,19.60%,8.60%
Cabell County,West Virginia,Male,"45,077","2,434","2,541","2,878","3,293","4,697","3,315","2,889","2,497","2,776","2,268","2,602","3,000","2,148","2,756","1,880","1,982",917,204,"5,419","1,867","9,720","6,123","19,467","36,308","35,357","32,961","9,887","9,056","7,739","3,103"
Cabell County,West Virginia,Percent Male,(X),5.40%,5.60%,6.40%,7.30%,10.40%,7.40%,6.40%,5.50%,6.20%,5.00%,5.80%,6.70%,4.80%,6.10%,4.20%,4.40%,2.00%,0.50%,12.00%,4.10%,21.60%,13.60%,43.20%,80.50%,78.40%,73.10%,21.90%,20.10%,17.20%,6.90%
Cabell County,West Virginia,Female,"47,653","2,388","3,078","1,839","2,659","5,502","3,643","2,532","2,326","2,649","2,383","2,716","2,221","3,294","2,733","2,823","2,018","1,150","1,699","4,917","1,105","8,410","7,056","19,311","39,964","39,243","36,425","13,717","12,095","10,423","4,867"
Cabell County,West Virginia,Percent Female,(X),5.00%,6.50%,3.90%,5.60%,11.50%,7.60%,5.30%,4.90%,5.60%,5.00%,5.70%,4.70%,6.90%,5.70%,5.90%,4.20%,2.40%,3.60%,10.30%,2.30%,17.60%,14.80%,40.50%,83.90%,82.40%,76.40%,28.80%,25.40%,21.90%,10.20%
Harrison County,West Virginia,Total,"64,915","3,372","4,005","3,806","3,606","3,925","3,762","3,733","3,471","4,517","4,036","4,206","4,730","4,418","3,702","3,968","2,551","1,286","1,821","7,811","2,527","13,710","5,004","23,014","52,516","51,205","49,686","17,746","16,018","13,328","5,658"
Harrison County,West Virginia,Percent,(X),5.20%,6.20%,5.90%,5.60%,6.00%,5.80%,5.80%,5.30%,7.00%,6.20%,6.50%,7.30%,6.80%,5.70%,6.10%,3.90%,2.00%,2.80%,12.00%,3.90%,21.10%,7.70%,35.50%,80.90%,78.90%,76.50%,27.30%,24.70%,20.50%,8.70%
Harrison County,West Virginia,Male,"32,009","1,824","2,037","1,801","1,817","2,087","1,956","1,798","1,563","2,413","2,099","2,088","2,096","2,467","1,839","1,861","1,103",640,520,"3,838","1,198","6,860","2,706","11,634","25,786","25,149","24,218","8,430","7,497","5,963","2,263"
Harrison County,West Virginia,Percent Male,(X),5.70%,6.40%,5.60%,5.70%,6.50%,6.10%,5.60%,4.90%,7.50%,6.60%,6.50%,6.50%,7.70%,5.70%,5.80%,3.40%,2.00%,1.60%,12.00%,3.70%,21.40%,8.50%,36.30%,80.60%,78.60%,75.70%,26.30%,23.40%,18.60%,7.10%
Harrison County,West Virginia,Female,"32,906","1,548","1,968","2,005","1,789","1,838","1,806","1,935","1,908","2,104","1,937","2,118","2,634","1,951","1,863","2,107","1,448",646,"1,301","3,973","1,329","6,850","2,298","11,380","26,730","26,056","25,468","9,316","8,521","7,365","3,395"
