County,State,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
Connecticut,Connecticut,"3,605,944","623,293","2,982,651","2,845,082","2,279,232","360,937","6,404","170,459",974,"27,076","137,569"
Fairfield County,Connecticut,"957,419","205,351","752,068","715,131","552,125","99,992",858,"50,751",173,"11,232","36,937"
Hartford County,Connecticut,"899,498","166,275","733,223","701,581","523,105","118,154","1,166","53,325",172,"5,659","31,642"
Litchfield County,Connecticut,"185,186","14,580","170,606","163,254","155,601","2,957",268,"3,434",63,931,"7,352"
Middlesex County,Connecticut,"164,245","11,928","152,317","145,879","131,954","8,001",214,"4,923",43,744,"6,438"
New Haven County,Connecticut,"864,835","170,081","694,754","664,569","509,688","110,273","1,413","36,995",247,"5,953","30,185"
New London County,Connecticut,"268,555","30,920","237,635","223,556","194,894","14,422","1,977","10,633",215,"1,415","14,079"
Tolland County,Connecticut,"149,788","9,699","140,089","134,395","120,021","5,074",182,"8,438",44,636,"5,694"
Windham County,Connecticut,"116,418","14,459","101,959","96,717","91,844","2,064",326,"1,960",17,506,"5,242"
Delaware,Delaware,"989,948","104,290","885,658","842,635","579,851","212,960","2,521","42,398",304,"4,601","43,023"
Kent County,Delaware,"181,851","13,981","167,870","156,943","104,845","45,737",864,"4,362",107,"1,028","10,927"
New Castle County,Delaware,"570,719","63,516","507,203","484,250","303,265","142,388",893,"35,022",127,"2,555","22,953"
Sussex County,Delaware,"237,378","26,793","210,585","201,442","171,741","24,835",764,"3,014",70,"1,018","9,143"
Kentucky,Kentucky,"4,505,836","207,854","4,297,982","4,122,619","3,664,764","357,764","8,080","73,843","3,462","14,706","175,363"
Adair County,Kentucky,"18,903",643,"18,260","17,707","17,044",498,26,63,6,70,553
Allen County,Kentucky,"20,588",574,"20,014","19,325","18,987",204,38,48,7,41,689
Anderson County,Kentucky,"23,852",521,"23,331","22,362","21,654",482,50,104,4,68,969
Ballard County,Kentucky,"7,728",93,"7,635","7,323","7,074",208,7,29,0,5,312
Barren County,Kentucky,"44,485","1,889","42,596","41,042","38,804","1,697",73,255,53,160,"1,554"
Bath County,Kentucky,"12,750",182,"12,568","12,288","12,125",127,4,16,1,15,280
Bell County,Kentucky,"24,097",244,"23,853","23,079","22,311",552,32,122,4,58,774
Boone County,Kentucky,"135,968","7,707","128,261","122,225","112,602","5,609",194,"3,048",307,465,"6,036"
Bourbon County,Kentucky,"20,252","1,486","18,766","17,986","16,770","1,033",28,77,8,70,780
Boyd County,Kentucky,"48,261",714,"47,547","45,829","44,035","1,306",89,277,6,116,"1,718"
Boyle County,Kentucky,"30,614","1,490","29,124","27,728","25,074","2,155",38,361,3,97,"1,396"
Bracken County,Kentucky,"8,400",90,"8,310","8,045","7,964",48,14,13,0,6,265
