Competitor,Address,City,County,State,ZipCode,Latitude,Longitude
Sam's Club,2500 Mountaineer Boulevard,South Charleston,Kanawha County,WV,25309,38.322039,-81.712078
Sam's Club,1100 Grand Central Avenue,Vienna,Wood County,WV,26105,39.309899,-81.550965
Sam's Club,5045 University Town Centre Drive,Morgantown,Monongalia,WV,26501,39.6392213,-80.0022061
Sam's Club,1220 N Eisenhower Drive,Beckley,Raleigh County,WV,25801,37.80285,-81.174016
Sam's Club,200 Emily Drrive,Clarksburg,Harrison County,WV,26301,39.275356,-80.279399
BJ's Wholesale Club,800 Rivergate Parkway,Goodlettsville,Davidson County,TN,37072,36.30523804,-86.70274324
BJ's Wholesale Club,543 Industrial Boulevard,La Vergne ,Rutherford County,TN,37086,35.98084,-86.574661
BJ's Wholesale Club,181 Adams Lane,Mount Juliet,Wilson County,TN,37122,36.16856779,-86.51576763
Sam's Club,3060 Franklin Terrace Drive,Johnson City,Washington County,TN,37604,36.35115136,-82.40193067
Sam's Club,8435 Walbrook Drive,Knoxville,Knox County,TN,37923,35.92541263,-84.06072409
Sam's Club,2920 Knoxville Center Drive,Knoxville,Knox County,TN,37924,36.032312,-83.871734
Sam's Club,1177 Sams Street,Cookeville,Putnam County,TN,38506,36.13159878,-85.50774055
Sam's Club,3315 Gutherie Highway,Clarksville,Montgomery County,TN,37040,36.522633,-87.334932
Sam's Club,125 John R. Rice Boulevard,Murfreesboro,Rutherford County,TN,37129,35.85351446,-86.44303198
Sam's Club,301 Indian Lake Boulevard,Hendersonville,Sumner County,TN,37075,36.3291894,-86.5954177
Sam's Club,3070 Mallory Lane,Franklin,Williamson County,TN,37067,35.94303771,-86.82098382
Sam's Club,1300 Antioch Pike,Nashville,Davidson County,TN,37211,36.085443,-86.690542
Sam's Club,6101 Lee Highway,Chattanooga,Hamilton County,TN,37421,35.02891173,-85.18816115
Sam's Club,2120 Emporium Drive,Jackson,Madison County,TN,38305,35.66599826,-88.85381922
Sam's Club,8480 Us Highway 64,Bartlett,Shelby County,TN,38133,35.207464,-89.780637
Sam's Club,7475 Winchester Road,Memphis,Shelby County,TN,38125,35.05060985,-89.81374352
Sam's Club,2150 Covington Pike,Memphis,Shelby County,TN,38128,35.18352794,-89.89646765
Costco Wholesale ,6670 Charlotte Pike,Nashville,Davidson County,TN,37209,36.13742457,-86.8827944
Costco Wholesale ,98 Seaboard Lane,Brentwood,Williamson County,TN,37027,35.962591,-86.819547
Costco Wholesale ,1101 Forest Retreat Road,Hendersonville,Sumner County,TN,37075,36.327326,-86.624898
Costco Wholesale ,1524 Beasie Road,Murfreesboro,Rutherford County,TN,37128,35.826999,-86.420023
Costco Wholesale ,10745 Kingston Pike,Farragut,Knox County,TN,37934,35.8960133,-84.1407159
Costco Wholesale ,2431 North Germantown Parkway,Cordova,Shelby County,TN,38016,35.1920242,-89.79602466
Costco Wholesale ,3775 Hacks Cross Road,Memphis,Shelby County,TN,38125,35.0446497,-89.79604894
BJ's Wholesale Club,"1677 Home Avenue
",Akron,Summit County,OH ,44310,41.11570305,-81.48218545
BJ's Wholesale Club,38292 Colorado Avenue,Avon,Lorain County,OH ,44011,41.45953624,-82.04509312
BJ's Wholesale Club,8425 Orange Centre Drive,Lewis Center,Delaware County,OH ,43035,40.1984,-83.01018
BJ's Wholesale Club,6944 W. 130th Street,Middleburg Heights,Cuyahoga County,OH ,44130,41.37611975,-81.78672361
BJ's Wholesale Club,5900 N. Hamilton Road,New Albany,Franklin County,OH ,43054,40.077284,-82.85035
BJ's Wholesale Club,6924 Frank Avenue NW,North Canton,Stark County,OH ,44720,40.8818466,-81.4403854
BJ's Wholesale Club,4365 Richmond Road,Warrensville Height,Cuyahoga County,OH ,44122,41.4420516,-81.49673149
BJ's Wholesale Club,36595 Euclid Avenue,Willoughby,Lake County,OH ,44094,41.6310247,-81.42611009
Sam's Club,432 Walmart Way,South Point,Cuyahoga County,OH ,45680,38.41095565,-82.52300679
Sam's Club,50555 Valley Plaza Drive,St. Clairsville,Belmont County,OH ,43950,40.074847,-80.878683
Sam's Club,1070 N Lexington Springmill Road,Ontario,Richland County,OH ,44906,40.781972,-82.590079
Sam's Club,6361 South Avenue,Youngstown,Mahoning County,OH ,44512,41.03474012,-80.63476504
Sam's Club,1040 Niles Cortland Road South East,Warren ,Trumbull County,OH ,44484,41.226498,-80.744609
Sam's Club,614 Crossings Road,Sandusky,Erie County,OH ,44870,41.3997404,-82.6660918
Sam's Club,4790 Portage Street,Canton,Stark County,OH ,44720,40.8778658,-81.4382705
Sam's Club,1189 Buchholzer Boulevard,Cuyahoga Falls,Summit County,OH ,44221,41.11785925,-81.46907517
Sam's Club,5600 Emerald Court,Mentor,Lake County,OH ,44060,41.716817,-81.294726
Sam's Club,3750 W Market Street Unit J,Fairlawn,Summit County,OH ,44333,41.1340469,-81.6315803
Sam's Club,5225 Cobblestone Road,Sheffield Village,Lorain County,OH ,44035,41.4221717,-82.0814359
Sam's Club,23300 Broadway Avenue,Oakwood Village,Cuyahoga County,OH ,44146,41.367764,-81.511311
Sam's Club,10250 Brookpark Road,Brooklyn,Cuyahoga County,OH ,44130,41.41858,-81.75492664
Sam's Club,2675 Taylor Road,Reynoldsburg,Franklin County,OH ,43068,39.9382196,-82.7811227
Sam's Club,3950 Morse Road,Columbus,Franklin County,OH ,43219,40.05785623,-82.91236143
Sam's Club,1270 N. Bridge Street,Chillicothe,Ross County,OH ,45601,39.35311221,-82.97662857
Sam's Club,1150 Greely Chapel Road,Lima,Allen County,OH ,45804,40.72545589,-84.07076435
Sam's Club,5870 Sawmill Road,Dublin,Franklin County,OH ,43017,40.0859484,-83.0875223
Sam's Club,1755 Hilliard-Rome Road,Columbus,Franklin County,OH ,43026,39.98659041,-83.15121332
Sam's Club,815 Clepper Lane,Cinicinnati,Hamilton County,OH ,45245,39.09233686,-84.26322843
Sam's Club,5375 N. Bend Road,Cinicinnati,Hamilton County,OH ,45247,39.1863278,-84.6064283
Sam's Club,800 Kemper Commons Circle,Springdale,Hamilton County,OH ,45246,39.28779399,-84.45789682
Sam's Club,1111 Miamisburg-Centerville Road,Dayton,Montgomery County,OH ,45459,39.6285243,-84.19029037
Sam's Club,3446 Pentagon Boulevard,Beavercreek,Greene County,OH ,45431,39.77291622,-84.06738461
Sam's Club,6955 Miller Road,Dayton,Montgomery County,OH ,45414,39.760973,-84.198938
Sam's Club,800 Kemper Commons Circle,Springdale,Hamilton County,OH ,45246,39.28779399,-84.45789682
Sam's Club,3724 Northpointe Drive,Zanesville,Muskingum County,OH ,43701,39.9870884,-82.0308291
Costco Wholesale ,1409 Golden Gate Boulevard,Cleveland,Cuyahoga County,OH ,44124,41.5242887,-81.4472055
Costco Wholesale ,9691 Waterstone Boulevard,Cinicinnati,Hamilton County,OH ,45249,39.2969356,-84.3028055
